sale_def,saleyymm,bed,bath,area_heated,area,dist_cbd,dist_lakes,pool,property_id,pcode
88142,200503,4,2,1270,3631,5211.83,638.57,0,265,1
78046,200212,2,2,1037,1307,14706.67,198.9,0,851,2
273777,200205,4,2,2821,10309,20897.89,3799.2,0,36,3
229185,200203,4,3,2341,9578,7057.41,193.39,0,619,4
464029,200405,4,3,2981,12287,7771.7,225.97,1,927,5
109152,200010,3,2,1307,10088,18662.69,496.94,1,796,6
190090,200303,1,1,960,269496,24917.13,96.46,0,376,7
259402,200411,3,2,2010,17270,12412.03,85.75,0,532,8
139069,200309,3,2.5,1873,9858,14387.11,248.78,0,665,9
204245,200410,4,2,1701,5658,23239.38,302.82,0,18,10
151295,200406,3,2,1704,5761,21174.92,531.72,0,716,11
141928,200408,3,2,1546,11461,10709.95,3743.18,0,525,12
172900,200204,3,2,1397,8758,4560.8,184.73,1,699,13
127167,200312,3,2,1166,12053,8025.37,350.87,1,252,14
69042,200110,3,1,1267,8083,25353.75,582.84,0,330,15
171259,200306,4,2,1684,6601,21427.69,448.46,1,425,16
105186,200409,3,1.5,1125,9380,17489.35,918.19,0,921,17
341505,200501,4,3,2507,23075,12334.3,311.03,1,404,18
187078,200107,4,2.5,2577,5500,19605.06,1552.88,1,249,19
77229,200205,3,2,1319,16026,7166.4,1026.98,0,28,20
183392,200206,3,2,2280,8621,14477.86,398.83,0,256,21
223719,200303,4,2,2227,12174,16208.64,873.78,0,212,22
247035,200405,5,3,2897,5873,21271.62,1760.57,1,595,23
192540,200312,5,3,2716,6751,21112.58,7705.76,0,988,24
226548,200405,4,4,2835,9013,14745.48,117.39,0,32,25
297864,200012,5,3,2762,15869,19948.18,509.26,0,944,26
67246,200208,3,1,1200,12003,20568.46,337.47,0,514,27
50102,200205,2,1,1014,13500,4893.37,388.26,0,381,28
163111,200105,4,3,2141,11051,12486.21,301.68,0,887,29
78536,200004,3,2,1158,6116,10764.64,669.44,0,428,30
121121,200007,3,2,1515,8247,12105.71,210.4,0,961,31
151085,200408,3,2,1542,11899,9720.22,121.25,0,994,32
155468,200202,3,2,1607,5609,21463.57,6829.82,1,398,33
100171,200402,3,2,1170,5752,6878.42,1270.06,0,402,34
236500,200209,4,2,2198,11552,13960.34,5026.41,0,675,35
122797,200102,3,2,1898,8569,20222.18,798.86,0,947,36
7629992,200311,6,8,10796,86488,17902.64,57.12,1,533,37
267918,200010,4,3,2561,11156,14842.87,284.1,1,881,38
315565,200106,4,3,3495,10910,7350.61,927.33,1,356,39
129057,200211,2,2.5,1240,3000,2880.63,571.27,0,939,40
290317,200311,4,4.5,3486,15151,11998.25,4804.38,0,117,41
94548,200007,3,2,1374,14185,9484.02,364.72,0,726,42
73970,200012,2,2.5,1096,1800,15526.23,3449.3,0,93,43
80947,200503,2,1.5,1480,7526,6864.86,284.67,0,813,44
202971,200410,3,2.5,1850,2553,15380.52,734.45,0,956,45
150631,200003,4,2,1859,16215,7152.1,321.74,1,502,46
499689,200212,3,3,4110,16024,18027.51,367.7,1,858,47
113956,200102,4,2,1600,12235,9837.77,1595.07,0,919,48
234289,200401,3,2,1959,6597,9437.17,297.04,0,201,49
154018,200403,3,2,1842,6062,21314.09,412.94,0,388,50
84195,200011,3,1.5,1139,8319,9558.2,221.42,0,231,51
91847,200101,3,2.5,1452,6757,11752.38,1737.41,0,207,52
99443,200108,3,2,1265,5610,15269.21,731.24,0,496,53
312352,200504,3,2,2693,40609,16546.77,851.51,1,288,54
413409,200405,4,3.5,3347,12376,3739.73,358.91,1,223,55
131359,200305,4,2,1334,7500,13109.93,4787.58,0,583,56
128461,200206,3,2,1443,5539,14823.12,2249.63,0,139,57
264735,200107,4,3,2765,10817,20623.27,7796.1,0,541,58
325510,200210,4,2.5,3059,20250,4228.69,324.42,1,923,59
238516,200209,3,2,2084,56730,13646.35,203.77,0,713,60
141681,200202,3,2,1470,5290,14734.23,5109.97,0,985,61
224988,200402,4,3,2582,7565,16356.93,858.1,0,387,62
216777,200304,4,3,2649,14998,18439.51,217.1,1,840,63
133797,200411,4,2,1517,7905,9227.57,845.11,0,472,64
472655,200308,4,3,3854,16221,16636.4,163.94,1,69,65
139573,200211,3,2,1498,6388,18955.43,4889.83,0,998,66
77608,200102,2,2,1036,2896,18825.97,5372.03,0,134,67
